sem;boy_min;boy_max;girl_min;girl_max
14;8.67;10.9;8.67;10.9
15;9.85;12.2;9.85;12.2
16;11.04;13.55;11.04;13.55
17;12.23;14.86;12.23;14.86
18;13.41;16.17;13.41;16.17
19;14.59;17.46;14.59;17.46
20;15.76;18.74;15.76;18.74
21;16.91;19.99;16.91;19.99
22;18.05;21.21;18.05;21.21
23;19.16;22.41;19.16;22.41
24;20.25;23.57;20.25;23.57
25;21.3;24.69;21.3;24.69
26;22.32;25.78;22.32;25.78
27;23.31;26.82;23.31;26.82
28;24.25;27.82;24.25;27.82
29;25.14;28.78;25.14;28.78
30;25.99;29.69;25.99;29.69
31;26.78;30.55;26.78;30.55
32;27.51;31.36;27.51;31.36
33;28.4;34;28.1;33.6
34;29;34.5;28.8;34
35;29.7;34.9;29.4;34.5
36;30.2;35.4;29.9;34.9
37;30.8;35.8;30.5;35.3
38;31.3;36.2;30.9;35.6
39;31.7;36.5;31.4;35.9
40;32.2;36.9;31.7;36.2
41;32.6;37.2;32.1;36.5
42;33;37.5;32.4;36.7
